,SEQN,BPQ020,DIQ010,DIQ190A,DIQ190B,PAQ180,PADACTIV,PADDURAT,SLD010H,RIAGENDR,RIDAGEMN,PreDM,Prediction_Correct
count,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0,3730.0
mean,36456.45737265416,1.7906166219839141,1.9554959785522787,1.7790884718498658,1.715549597855228,2.3302949061662197,29.51608579088472,58.10053619302949,6.996782841823056,1.475603217158177,432.05335120643434,0.49410187667560324,1.0
std,2949.403073800931,0.4069230543431068,0.25716461074160457,0.4149165931183223,0.4512127584917005,0.8453930292997022,13.195169797855842,64.09635767778875,2.9396340730211286,0.4994714000568639,220.43309620293334,0.5000322438750182,0.0
min,31132.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,192.0,0.0,1.0
25%,33858.0,2.0,2.0,2.0,1.0,2.0,15.0,20.0,6.0,1.0,230.0,0.0,1.0
50%,36530.0,2.0,2.0,2.0,2.0,2.0,33.0,30.0,7.0,1.0,366.5,0.0,1.0
75%,38990.5,2.0,2.0,2.0,2.0,3.0,42.0,60.0,8.0,2.0,587.75,1.0,1.0
max,41465.0,2.0,3.0,2.0,2.0,4.0,71.0,600.0,99.0,2.0,1019.0,1.0,1.0
